AMBITO,COMUNIDAD - MUNICIPIO ,FECHA,FIESTA - LOCALIDAD
AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,01/01/2021,Año Nuevo
AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,01/06/2021,Epifanía del Señor
AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,04/01/2021,Jueves Santo
AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,04/02/2021,Viernes Santo
AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,05/01/2021,Fiesta del Trabajo
AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,08/16/2021,Lunes siguiente a la Asunción de la Virgen 
AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,09/08/2021,Día de Asturias
AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,10/12/2021,Fiesta Nacional de España
AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,11/01/2021,Todos los Santos
AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,12/06/2021,Día de la Constitución Española
AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,12/08/2021,Inmaculada Concepción
AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,12/25/2021,Natividad del Señor
LOCAL,ALLANDE,09/09/2021,Virgen del Avellano
LOCAL,ALLANDE,09/10/2021,Día posterior a la fiesta del avellano
LOCAL,ALLER,11/11/2021,San Martín
LOCAL,ALLER,11/26/2021,El Mercaón
LOCAL,AMIEVA,06/14/2021,San Antonio en Sames
LOCAL,AMIEVA,07/26/2021,Festividad de Santiago en Vis
LOCAL,AVILÉS,04/05/2021,Lunes de Pascua
LOCAL,AVILÉS,08/28/2021,San Agustín
LOCAL,BELMONTE DE MIRANDA,05/14/2021,Día anterior a San Isidro
LOCAL,BELMONTE DE MIRANDA,08/30/2021,San Antonio. La Gira
LOCAL,BIMENES,10/18/2021,Feries de San Julián
LOCAL,BIMENES,12/04/2021,Conmemoración de Santa Bárbara
LOCAL,BOAL,03/19/2021,San José
LOCAL,BOAL,07/26/2021,Santa Ana
LOCAL,CABRALES,07/02/2021,Centenario puesta en marcha de la Central Térmica de Camameña
LOCAL,CABRALES,09/17/2021,Firma del Acta de Constitución del Ateneo Cabraliego
LOCAL,CABRANES,05/10/2021,San Francisco de Paula y 42º Festival del Arroz con Leche
LOCAL,CABRANES,08/30/2021,Carmen de Torazu y Jira de Incós
LOCAL,CANDAMO,02/01/2021,Las Candelas
LOCAL,CANDAMO,06/07/2021,Lunes siguiente al Festival de la Fresa excepto en San Román
LOCAL,CANDAMO,08/10/2021,"San Lorenzo, sólo en San Román"
LOCAL,CANGAS DE ONÍS,06/13/2021,Fiesta de San Antonio
LOCAL,CANGAS DE ONÍS,09/24/2021,Fiesta de la Salud de Caño
LOCAL,CANGAS DEL NARCEA,07/16/2021,Fiesta del Carmen
LOCAL,CANGAS DEL NARCEA,07/22/2021,La Magdalena
LOCAL,CARAVIA,08/02/2021,Lunes siguiente a la Fiesta de Santiago
LOCAL,CARAVIA,09/06/2021,Lunes siguiente a la Consolación
LOCAL,CARREÑO,08/02/2021,Fiesta de San Félix
LOCAL,CARREÑO,09/14/2021,Festividad del Cristo
LOCAL,CASO,06/24/2021,San Juan
LOCAL,CASO,10/08/2021,Ferias Ganaderas
LOCAL,CASTRILLÓN,04/05/2021,Lunes de Pascua
LOCAL,CASTRILLÓN,07/05/2021,Día de Castrillón
LOCAL,CASTROPOL,07/26/2021,Lunes siguiente Santiago 
LOCAL,CASTROPOL,10/11/2021,Festividad víspera del Pilar 
LOCAL,COAÑA,03/19/2021,San José
LOCAL,COAÑA,08/06/2021,San Salvador
LOCAL,COLUNGA,07/12/2021,Nuestra Sra. de Loreto en Colunga
LOCAL,COLUNGA,08/24/2021,San Roque en Lastres
LOCAL,CORVERA DE ASTURIAS,06/24/2021,San Juan
LOCAL,CORVERA DE ASTURIAS,09/10/2021,Fiestas Populares de Corvera
LOCAL,CUDILLERO,06/29/2021,San Pedro
LOCAL,CUDILLERO,07/26/2021,Santa Ana
LOCAL,DEGAÑA,07/26/2021,Festividad de Santiago
LOCAL,DEGAÑA,08/17/2021,San Roque
LOCAL,EL FRANCO,09/09/2021,"Jueves, día posterior a la Virgen de Los Remedios"
LOCAL,EL FRANCO,09/29/2021,"Miércoles, festividad de San Miguel"
LOCAL,GIJÓN,02/16/2021,Carnaval/Antroxu
LOCAL,GIJÓN,06/29/2021,San Pedro
LOCAL,GOZÓN,02/05/2021,Cristo del Socorro
LOCAL,GOZÓN,07/16/2021,Festividad de la Virgen del Carmen
LOCAL,GRADO,07/23/2021,Festividad de Santiago
LOCAL,GRADO,07/26/2021,"Lunes, Festividad de Santa Ana"
LOCAL,GRANDAS DE SALIME,08/02/2021,Fiesta de El Salvador
LOCAL,GRANDAS DE SALIME,10/08/2021,Fiesta Local
LOCAL,IBIAS,08/17/2021,"Martes, San Donato"
LOCAL,IBIAS,09/06/2021,"Lunes, Santo Antolín"
LOCAL,ILLANO,02/16/2021,Martes de Carnaval
LOCAL,ILLANO,07/16/2021,Virgen del Carmen
LOCAL,ILLAS,04/05/2021,Lunes de Pascua
LOCAL,ILLAS,08/28/2021,San Agustín
LOCAL,LANGREO,02/16/2021,Martes de Carnaval
LOCAL,LANGREO,06/29/2021,San Pedro
LOCAL,LAS REGUERAS,02/16/2021,Martes de Carnaval
LOCAL,LAS REGUERAS,06/13/2021,San Antonio
LOCAL,LAVIANA,02/16/2021,Martes de Carnaval
LOCAL,LAVIANA,06/24/2021,San Juan
LOCAL,LENA,04/12/2021,Festividad de La Flor de Lena
LOCAL,LENA,10/11/2021,Festividad de Las Ferias
LOCAL,LLANERA,02/16/2021,Festividad del Antroxu
LOCAL,LLANERA,05/15/2021,Festividad de San Isidro Labrador
LOCAL,LLANES,07/22/2021,La Magdalena en Llanes y Concejo
LOCAL,LLANES,07/26/2021,Santa Ana en Llanes y Concejo
LOCAL,LLANES,03/19/2021,San  José en Posada y Parroquia
LOCAL,LLANES,12/13/2021,Santa Lucía en Posada y Parroquia
LOCAL,LLANES,04/23/2021,San Jorge en Nueva y Valle de San Jorge
LOCAL,LLANES,09/14/2021,El Cristo en Nueva y Valle de San Jorge
LOCAL,MIERES,06/24/2021,"San Juan, todo el Municipio excepto en el Valle de Turón"
LOCAL,MIERES,09/14/2021,"Santísimo Cristo de la Paz, en el valle de Turón"
LOCAL,MIERES,09/27/2021,"Mártires de Valdecuna, San Cosme y San Damián, en todo el Municipio"
LOCAL,MORCÍN,01/18/2021,San Antón
LOCAL,MORCÍN,06/14/2021,San Antonio
LOCAL,MUROS DE NALÓN,06/14/2021,Lunes posterior a San Antonio
LOCAL,MUROS DE NALÓN,07/16/2021,Festividad Ntra. Sra. del Carmen
LOCAL,NAVA,07/12/2021,Festival de la Sidra
LOCAL,NAVA,08/23/2021,San Bartolomé
LOCAL,NAVIA,08/17/2021,Jira de Navia
LOCAL,NAVIA,09/10/2021,Jira de Puerto de Vega
LOCAL,NOREÑA,04/26/2021,Festividad de San Marcos
LOCAL,NOREÑA,09/20/2021,Festividad del Ecce-Homo
LOCAL,ONÍS,03/19/2021,San José en Avín
LOCAL,ONÍS,10/04/2021,San Francisco de Demués
LOCAL,OVIEDO,05/25/2021,Martes de Campo
LOCAL,OVIEDO,09/21/2021,San Mateo
LOCAL,PARRES,05/21/2021,Festividad de Santa Rita de Cassia
LOCAL,PARRES,07/26/2021,Día del El Bollín
LOCAL,PEÑAMELLERA ALTA,03/19/2021,San José
LOCAL,PEÑAMELLERA ALTA,08/17/2021,La Sacramental Allés
LOCAL,PEÑAMELLERA BAJA,08/17/2021,Fiesta de San Roque
LOCAL,PEÑAMELLERA BAJA,09/15/2021,Feria de San Cipriano
LOCAL,PESOZ,08/02/2021,Fiestas patronales 
LOCAL,PESOZ,12/07/2021,Fiestas patronales 
LOCAL,PILOÑA,06/14/2021,San Antonio en Infiesto y resto del concejo
LOCAL,PILOÑA,10/15/2021,Santa Teresa en Infiesto y resto del concejo
LOCAL,PILOÑA,06/25/2021,San Pedro en Sebares
LOCAL,PILOÑA,10/11/2021,En Sebares
LOCAL,PILOÑA,06/04/2021,En Villamayor
LOCAL,PILOÑA,06/07/2021,Corpus Christi en Villamayor
LOCAL,PONGA,08/13/2021,Fiesta Local
LOCAL,PONGA,10/11/2021,Fiesta Local
LOCAL,PRAVIA,06/03/2021,"Jueves, Corpus Christi"
LOCAL,PRAVIA,09/06/2021,"Lunes, Festividad del Santísimo Cristo"
LOCAL,PROAZA,06/24/2021,San Juan
LOCAL,PROAZA,09/15/2021,Los Remedios
LOCAL,QUIRÓS,03/19/2021,San José
LOCAL,QUIRÓS,09/29/2021,San Miguel
LOCAL,RIBADEDEVA,04/22/2021,Virgen de las Angustias en Villanueva
LOCAL,RIBADEDEVA,07/12/2021,Festividad en todo el municipio
LOCAL,RIBADEDEVA,07/16/2021,El Carmen en Bustio
LOCAL,RIBADEDEVA,08/02/2021,Nuestra Señora de los Ángeles en La Franca 
LOCAL,RIBADEDEVA,08/05/2021,Virgen de las Nieves en El Peral 
