AMBITO,COMUNIDAD - MUNICIPIO,FECHA,FIESTA - LOCALIDAD
AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,01/02/2023,Lunes siguiente a Año Nuevo
AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,01/06/2023,Epifanía del Señor
AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,04/06/2023,Jueves Santo
AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,04/07/2023,Viernes Santo
AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,05/01/2023, Fiesta del Trabajo
AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,08/15/2023,Asunción de la Virgen 
AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,09/08/2023,Día de Asturias
AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,10/12/2023,Fiesta Nacional de España
AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,11/01/2023,Todos los Santos
AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,12/06/2023,Día de la Constitución Española
AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,12/08/2023,Inmaculada Concepción
AUTONOMICO,COMUNIDAD AUTONOMA PRINCIPADO DE ASTURIAS,12/25/2023, Natividad del Señor
LOCAL,ALLANDE,07/10/2023,Fiesta de San Cristóbal
LOCAL,ALLANDE,09/11/2023,Día posterior a la fiesta del avellano
LOCAL,ALLER,11/11/2023,San Martín de Moreda
LOCAL,ALLER,11/26/2023,El Mercaón de Cabañaquinta
LOCAL,AMIEVA,06/13/2023,San Antonio en Sames
LOCAL,AMIEVA,07/25/2023,Festividad de Santiago en Vis
LOCAL,AVILÉS,04/10/2023,Lunes de Pascua
LOCAL,AVILÉS,08/20/2023,San Agustín
LOCAL,BELMONTE DE MIRANDA,05/15/2023,San Isidro
LOCAL,BELMONTE DE MIRANDA,08/29/2023,San Antonio. La Gira
LOCAL,BIMENES,10/16/2023,Feries de San Julián
LOCAL,BIMENES,12/04/2023,Conmemoración de Santa Bárbara
LOCAL,BOAL,05/29/2023,Festividad de San Fernando
LOCAL,BOAL,07/25/2022,Festividad de Santiago
LOCAL,CABRALES,01/23/2023,San Ildefonso
LOCAL,CABRALES,09/22/2023,´
LOCAL,CABRANES,05/15/2023,San Francisco de Paula y 44º Festival del Arroz con Leche
LOCAL,CABRANES,08/29/2023,Carmen de Torazu y Jira de Incós
LOCAL,CANDAMO,02/03/2023,Las Candelas
LOCAL,CANDAMO,06/12/2023,Lunes siguiente al Festival de la Fresa excepto en San Román
LOCAL,CANDAMO,08/10/2023,"San Lorenzo, sólo en San Román"
LOCAL,CANGAS DE ONÍS,06/13/2023,Fiesta de San Antonio
LOCAL,CANGAS DE ONÍS,07/25/2023,Fiesta del Pastor
LOCAL,CANGAS DEL NARCEA,07/17/2023,Laborable siguiente a la Fiesta del Carmen
LOCAL,CANGAS DEL NARCEA,07/22/2023,La Magdalena
LOCAL,CARAVIA,07/31/2023,Lunes siguiente a la Fiesta de Santiago
LOCAL,CARAVIA,09/04/2023,Lunes siguiente a la Consolación
LOCAL,CARREÑO,08/01/2023,Fiesta de San Félix
LOCAL,CARREÑO,09/14/2023,Festividad del Santísimo Cristo de Candás
LOCAL,CASO,06/23/2023,San Juan
LOCAL,CASO,10/09/2023,Ferias Ganaderas
LOCAL,CASTRILLÓN,04/10/2023,Lunes de Pascua
LOCAL,CASTRILLÓN,07/03/2023,Día de Castrillón
LOCAL,CASTROPOL,07/25/2023,Santiago Apóstol
LOCAL,CASTROPOL,08/16/2023,San Roque
LOCAL,COAÑA,05/15/2023,Día internacional de la familia
LOCAL,COAÑA,08/07/2023,Festividad de San Cayetano en Sequeiro
LOCAL,COLUNGA,07/10/2023,Nuestra Sra. de Loreto en Colunga
LOCAL,COLUNGA,08/22/2023,San Roque en Lastres
LOCAL,CORVERA DE ASTURIAS,06/24/2023,San Juan
LOCAL,CORVERA DE ASTURIAS,09/11/2023,Fiestas Populares de Corvera
LOCAL,CUDILLERO,06/29/2023,San Pedro
LOCAL,CUDILLERO,07/26/2023,Santa Ana
LOCAL,DEGAÑA,07/25/2023,Santiago
LOCAL,DEGAÑA,08/16/2023,San Roque
LOCAL,EL FRANCO,09/09/2023,Día posterior a Ntra. Sra. De los Remedios
LOCAL,EL FRANCO,09/29/2023,Festividad de San Miguel
LOCAL,GIJÓN,02/21/2023,Carnaval/Antroxu
LOCAL,GIJÓN,06/29/2023,San Pedro
LOCAL,GOZÓN,02/06/2023,Fiesta del Cristo del Socorro
LOCAL,GOZÓN,07/17/2023,Festividad de la Virgen del Carmen
LOCAL,GRADO,07/25/2023,Festividad de Santiago
LOCAL,GRADO,07/27/2023,Traslado Festividad de Santa Ana
LOCAL,GRANDAS DE SALIME,06/23/2023,Víspera de San  Juan
LOCAL,GRANDAS DE SALIME,08/07/2023,Día de la Jira-Fiesta de el Salvador
LOCAL,IBIAS,08/14/2023,San Donato
LOCAL,IBIAS,09/04/2023,Santo Antolín
LOCAL,ILLANO,02/21/2023,Martes de Carnaval
LOCAL,ILLANO,08/28/2023,San Agustín
LOCAL,ILLAS,04/10/2023,Lunes de Pascua
LOCAL,ILLAS,08/28/2023,San Agustín
LOCAL,LANGREO,06/29/2023,San Pedro
LOCAL,LANGREO,07/25/2023,Santiago
LOCAL,LAS REGUERAS,02/21/2023,Martes de Carnaval
LOCAL,LAS REGUERAS,06/13/2023,San Antonio
LOCAL,LAVIANA,02/21/2023,Martes de Carnaval
LOCAL,LAVIANA,08/16/2023,Jira
LOCAL,LENA,04/17/2023,Festividad de La Flor
LOCAL,LENA,10/16/2023,Festividad de Las Ferias
LOCAL,LLANERA,02/21/2023,Festividad del Antroxu
LOCAL,LLANERA,05/15/2023,Festividad de San Isidro Labrador
LOCAL,LLANES,07/22/2023,La Magdalena en Llanes y Concejo
LOCAL,LLANES,07/25/2023,Santiago en Posada y Parroquia
LOCAL,LLANES,08/05/2023,El Henar en Nueva y Valle de San Jorge
LOCAL,LLANES,08/16/2023,San Roque Llanes y Concejo
LOCAL,LLANES,09/14/2023,El Cristo en Nueva y Valle de San Jorge
LOCAL,LLANES,12/13/2023,Santa en Lucía Posada y Parroquia
LOCAL,MIERES,06/24/2023,"San Juan, todo el Municipio excepto en el Valle de Turón"
LOCAL,MIERES,09/14/2023,"Santísimo Cristo de la Paz, en el valle de Turón"
LOCAL,MIERES,09/27/2023,"Mártires de Valdecuna, San Cosme y San Damián, en todo el Municipio"
LOCAL,MORCÍN,01/17/2023,San Antón
LOCAL,MORCÍN,06/13/2023,San Antonio
LOCAL,MUROS DE NALÓN,06/13/2023,Festividad de San Antonio
LOCAL,MUROS DE NALÓN,07/17/2023,Lunes posterior a Ntra. Sra. del Carmen
LOCAL,NAVA,07/10/2023,Festival de la Sidra
LOCAL,NAVA,08/28/2023,San Bartolomé
LOCAL,NAVIA,08/16/2023,San Roque
LOCAL,NAVIA,09/07/2023,Víspera La Atalaya en Puerto de Vega
LOCAL,NOREÑA,05/24/2023,Festividad de San Marcos
LOCAL,NOREÑA,09/18/2023,Festividad del Ecce-Homo
LOCAL,ONÍS,06/23/2023,San Juan
LOCAL,ONÍS,07/18/2023,Santa Marina
LOCAL,OVIEDO,05/30/2023,Martes de Campo
LOCAL,OVIEDO,09/21/2023,San Mateo
LOCAL,PARRES,05/22/2023,Festividad de Santa Rita de Cassia
LOCAL,PARRES,07/31/2023,Día del Bollín
LOCAL,PEÑAMELLERA ALTA,07/16/2023,La fiesta de San Sebastián
LOCAL,PEÑAMELLERA ALTA,09/01/2023,La Sacramental
LOCAL,PEÑAMELLERA BAJA,05/15/2023,Feria de San Isidro
LOCAL,PEÑAMELLERA BAJA,08/16/2023,Fiesta de San Roque
LOCAL,PESOZ,08/14/2023,La Asunción de nuestra Señora
LOCAL,PESOZ,10/13/2023,Fiesta patronal
LOCAL,PILOÑA,06/13/2023,San Antonio en Infiesto y resto del Concejo
LOCAL,PILOÑA,10/16/2023,Sta. Teresa en Infiesto y resto del concejo
LOCAL,PILOÑA,06/09/2023,En Villamayor
LOCAL,PILOÑA,06/12/2023,En Villamayor (Corpus Christi)
LOCAL,PILOÑA,06/30/2023,San Pedro en Sebares
LOCAL,PILOÑA,12/07/2023,En Sebares
LOCAL,PONGA         ,08/14/2023,Nuestra Señora
LOCAL,PONGA,10/13/2023,Día de la Berrea
LOCAL,PRAVIA,06/08/2023,Corpus Christi
LOCAL,PRAVIA,09/06/2023, Festividad del Santísimo Cristo de Misericordia
LOCAL,PROAZA,06/13/2023,San Antonio
LOCAL,PROAZA,09/15/2023,Los Remedios
LOCAL,QUIRÓS,07/28/2023,San Melchor
LOCAL,QUIRÓS,09/29/2023,San Miguel
LOCAL,RIBADEDEVA,03/06/2023,Fiesta de San Emeterio y San Celedonio en Pimiango
LOCAL,RIBADEDEVA,03/20/2023,Festividad en todo el municipio 
LOCAL,RIBADEDEVA ,07/17/2023,Fiesta de Nuestra Señora del Carmen de Bustio
LOCAL,RIBADEDEVA,08/02/2022,Fiesta de Nuestra Señora de los Ángeles de La Franca
LOCAL,RIBADEDEVA,08/07/2023,Fiesta de Nuestra Señora de las Nieves de El Peral
LOCAL,RIBADEDEVA,08/10/2023,Fiesta de San Lorenzo de Noriega
LOCAL,RIBADEDEVA  ,08/16/2022,"Fiesta de San Roque (Vilde, Andinas)"
LOCAL,RIBADEDEVA,08/21/2023,Fiesta de la Sacramental de Colombres
LOCAL,RIBADESELLA,02/21/2023,Martes de Carnaval
LOCAL,RIBADESELLA,06/26/2023,San Juan
LOCAL,RIBERA DE ARRIBA,05/30/2023,Día de los mayores
LOCAL,RIBERA DE ARRIBA,12/13/2023,Santa Lucía
LOCAL,RIOSA,06/13/2023,San Antonio
LOCAL,RIOSA,09/29/2023,Ntra. Señora del Rosario
LOCAL,SALAS,04/25/2023,Martes de Ferias en todo el Concejo
LOCAL,SALAS,08/21/2023,Festividad del Bollo en Salas
LOCAL,SALAS,06/24/2023,Festividad San Juan Bautista en Cornellana
LOCAL,SALAS,07/03/2023,Festividad de San Vicente - La Festona en la Espina
LOCAL,SAN MARTÍN DE OSCOS,02/21/2023,Martes de Carnaval 
LOCAL,SAN MARTÍN DE OSCOS       ,07/10/2023,Lunes siguiente a las Fiestas Patronales
LOCAL,SAN MARTÍN DEL REY AURELIO,02/21/2023,Martes de Carnaval en todo el Concejo
LOCAL,SAN MARTÍN DEL REY AURELIO,11/10/2023,"San Martín y fiesta gastronómica de ""Los Nabos"" fiesta local para las parroquias de San Martín, Santa Bárbara y Blimea."
LOCAL,SAN MARTÍN DEL REY AURELIO,11/30/2023,"San Andrés y fiesta gastronómica de “Les cebolles rellenes”, fiesta local para las parroquias de San Andrés, El Entrego y Cocañín en la Güería"
LOCAL,SAN TIRSO DE ABRES,02/21/2023,Martes de Carnaval
LOCAL,SAN TIRSO DE ABRES,05/15/2023,Festividad de San Isidro Labrador
LOCAL,SANTA EULALIA DE OSCOS,02/21/2023,Martes de Carnaval
LOCAL,SANTA EULALIA DE OSCOS       ,08/21/2023,Fiestas Patronales
LOCAL,SANTO ADRIANO,06/12/2023,San Antonio
LOCAL,SANTO ADRIANO,07/17/2023,El Carmen
LOCAL,SARIEGO,07/25/2023,Santiago
LOCAL,SARIEGO,08/21/2023,San Pedrín
LOCAL,SIERO,04/11/2023,"Huevos Pintos, en todo el Concejo"
LOCAL,SIERO,07/17/2023,"El Carmín, todo Concejo excepto Lugones"
LOCAL,SIERO,08/28/2023,"Santa Isabel, Parroquia de Lugones"
LOCAL,SOBRESCOBIO,08/28/2023,Festividad de San Ginés
LOCAL,SOBRESCOBIO,10/13/2023,Día después de la festivad de la Hispanidad
LOCAL,SOMIEDO               ,05/02/2023,Feria
LOCAL,SOMIEDO,09/11/2023,Nuestra Señora
LOCAL,SOTO DEL BARCO,06/24/2023,Festividad de San Juan
LOCAL,SOTO DEL BARCO,06/29/2023,Festividad de San Pedro
LOCAL,TAPIA DE CASARIEGO,06/29/2022,Festividad de San Pedro
LOCAL,TAPIA DE CASARIEGO,02/03/2023,Festividad de San Blas
LOCAL,TAPIA DE CASARIEGO,07/17/2023,Día posterior a la Festividad de la Virgen del Carmen
LOCAL,TARAMUNDI,02/21/2023,Martes de Carnaval
LOCAL,TARAMUNDI,03/20/2023,San José
LOCAL,TEVERGA,06/29/2023,San Pedro
LOCAL,TEVERGA,11/21/2023,La Feriona
LOCAL,TINEO,06/29/2023,Festividad de San Pedro en todo el municipio
LOCAL,TINEO,08/16/2023,"San Roque, todo el municipio excepto en la Parroquia de Navelgas"
LOCAL,TINEO,08/25/2023,"Festividad de La Caridad, en la Parroquia de Navelgas"
LOCAL,VALDÉS,05/26/2023,"Día del Fuero de Valdés, en todo el Concejo, excepto en Trevías"
LOCAL,VALDÉS,08/22/2023,Festividad de San Timoteo en todo el Concejo
LOCAL,VALDÉS,09/29/2023,"Festividad de San Miguel, solamente en la Parroquia Rural de Trevías"
LOCAL,VEGADEO,06/12/2023,Lunes de Feria
LOCAL,VEGADEO     ,08/16/2023,Lunes siguente a las Fiestas Patronales
LOCAL,VILLANUEVA DE OSCOS,02/21/2023,Martes de Carnaval
LOCAL,VILLANUEVA DE OSCOS,07/26/2023,Santa Ana
LOCAL,VILLAVICIOSA,09/11/2023,Fiestas Patronales Nuestra Señora del Portal
LOCAL,VILLAVICIOSA,09/13/2023,Fiestas Patronales Nuestra Señora del Portal
LOCAL,VILLAYON            ,08/14/2023,Fiestas de Nuestra Señora
LOCAL,VILLAYON,10/13/2023,Fiesta de la Virgen del Pilar
LOCAL,YERNES Y TAMEZA,06/19/2023,San Antonio en Yernes
LOCAL,YERNES Y TAMEZA,10/09/2023,El Rosario en Tameza
